course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
AFRAMER 159Y,Healthcare and the Welfare State 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a7ee010994f1d93aa7973b545fc3495f15629a1dcbc3bd06c757b08c446b94f9e41a05c2368b4dcb446ffd8607c651f2&ReportType=2&regl=en-US,FAS-225821-2252-1-1-001,FAS-225821-2252-1-1-001(aumoithe),225821,6,9,4.67,5.0,5.0,0.7550503361372738,4.67,5.0,5.0,0.47258156262526085,7.4,8.0,8.0,1.95,4.33,5.0,5.0,1.21,0.75592,0.9428,0.9428,0.33565017801276376,0.0,0.0,0.0,0.0,"This is a fantastic primer on the history of the U.S. health care system. You'll learn about a variety of topics, mostly in chronological order: the early roots of the health and welfare system in widows' benefits and veterans pensions, the development of Social Security, the birth of Medicare and Medicaid, and the unfolding of the delegated/privatized state in the post–1960s era. George is a fantastic guide: he is unique in his attention to detail, and truly wants each student to leave the course a better writer and historical thinker than they entered it. He is also passionate and not afraid to offer his opinion on historical change in the health care system –– which I found refreshing. This class never bores. Take it!",0.9815,,0.0,,0.0
AFRAMER 177X,W.E.B. Du Bois and His Critics 001,Gates,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=181cf8cf46b63c665de2a9bd2fecfed79b2070ee89df8c6c398703c43eb0743e5ac64c5d7c38141e1b49d2f5161ac1a1&ReportType=2&regl=en-US,FAS-223916-2252-1-1-001,FAS-223916-2252-1-1-001(Gates),223916,12,17,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.8,5.0,4.0,2.1,5.0,5.0,5.0,0.0,0.572775,0.49185,0.9413,0.3630914239456189,0.0,0.0,0.0,0.0,"No one should graduate from Harvard without taking a class from Professor Gates. It doesn't matter what class he is teaching––on W.E.B. Du Bois, on African–American literature, on underwater basket weaving––take it! He changed my life for the better, and he will do the same for you. He is an exceptionally insightful and creative mind who will teach you to think deeply and critically. He has a gift for making everyone feel welcome, accepted, and free to speak their minds, even on uncomfortable topics such as racism. Most important, Professor Gates is a person of extraordinary kindness, compassion, and generosity. I have seen many examples of his showing such grace to his students and staff. In our divisive world today, we need more people like Professor Gates. Taking a class from him is the first step!",0.9749,Du Bois is a man whose ability to tell a story through his writing is profound.  Take the time to learn your own knee jerk reactions to his thoughts and see if they change throughout the semester.,-0.0258,,0.0
AFRAMER 186,"Religion, Culture, and Society in Africa 001",Olupona,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=617f7f4614d945b4b118c9a6dc858423b0a9a1132cead3fe9a1101158f2ee59ec0bc79bde37aed56a6f8c5323393f181&ReportType=2&regl=en-US,FAS-222688-2252-1-1-001,FAS-222688-2252-1-1-001(Olupona),222688,8,9,4.17,4.5,5.0,0.8995509541943242,4.4,4.0,4.0,0.49236596391733095,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.52255,0.4019,0.4019,0.29970857511923144,0.0,0.0,0.0,0.0,This was for sure one of my favorite classes I have ever taken at Harvard. I am a graduating senior who took this for an elective and I was genuinely not disappointed. For undergrads I would say for sure this is a class worth taking if you have any interest at all in African religion or just religion in general. Olupona is super interesting and has stories for days about how over the years he has directly interacted with the course material. I also think the course assignments are very doable and provide interesting opportunities to dig a little deeper into whatever interests you. They are quite open ended generally so maybe if you are someone that needs extreme guidance in your work then maybe you might find it challenging – but generally it does give you the freedom to write about what is interesting to you. Be warned there is a 20 page paper final so... do with that what you may.,0.9682,,0.0,,0.0
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c3b21d14e566004cf95be3730e3f41ba7d53cb2c201ba332e0deb49f0a1b4428f8f80761197a5da368adec2d6c037b7c&ReportType=2&regl=en-US,FAS-127960-2252-1-1-001,FAS-127960-2252-1-1-001(Higginbotham),127960,9,12,4.5,4.5,4.0,0.502518907629606,5.0,5.0,5.0,0.0,7.67,7.0,7.0,3.39,4.5,4.5,4.0,0.55,0.5055999999999999,0.6486,0.8682,0.45141949448378943,0.0,0.0,0.0,0.0,really amazing class! I learned a ton! Great for people thinking about entering a career in law.,0.8682,,0.0,,0.0
AFRAMER 223,Storied Lives: Methods in Oral History 001,Henry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ea4b6fdffd31e0120d2c01dd51ea0e7c50548353ccfc32b70e5c18d40c3a4ee5b3fa1767016828fabc83d703435e322b&ReportType=2&regl=en-US,FAS-225837-2252-1-1-001,FAS-225837-2252-1-1-001(Henry),225837,21,28,4.85,5.0,5.0,0.3588702812826367,4.95,5.0,5.0,0.2190429135575903,6.47,6.0,10.0,2.89,4.95,5.0,5.0,0.23,0.3920363636363636,0.3612,0.0,0.42140543013285264,0.0,0.0,0.0,0.0,"Take it! It's beautiful. A strong emphasis on method with rich thought–provoking readings and a professor who is thoughtful, warm, capable, and invested in your well–being. You won't be disappointed.",0.9625,"This course is incredible, it offered practical tools while pushing my critical and theoretical thinking. I highly recommend it especially for working with stories which are often missing from formal archives.",-0.1796,,0.0
AFRIKAAN AB,Elementary Afrikaans 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0247480282e64c347bf1a42807bfd66c09fc1c507f65b0263af8570c751ac0a28f9fe74b79f1b29a06f41b3c709690c7&ReportType=2&regl=en-US,FAS-205831-2252-1-1-001,FAS-205831-2252-1-1-001(Mugane),205831,10,10,4.89,5.0,5.0,0.31446603773522014,0.0,0.0,0.0,-1.0,4.0,4.0,6.0,1.58,4.89,5.0,5.0,0.33,0.8058333333333333,0.8316,0.8316,0.15763737923897783,0.0,0.0,0.0,0.0,"Absolutely the best language class I’ve ever taken. It completely flips the traditional model of memorizing useless essays and rigid grammar rules, instead prioritizing real communication (ie what language is actually for). The environment is supportive, and the small class size makes a huge difference. Adriaan is brilliant at keeping lessons active and engaging without being overly strict. I couldn’t recommend a class more highly! Baie dankie!",0.949,,0.0,,0.0
IGBO AB,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=531d1a66f3355bc85fae486b6d7e0a265e5a062a030a84df9b1e9f0ebdb80d6d90ca23f79b6045206d87cbf122e87ecf&ReportType=2&regl=en-US,FAS-205854-2252-1-1-001,FAS-205854-2252-1-1-001(Mugane),205854,5,9,4.33,5.0,5.0,0.9451631252505217,0.0,0.0,0.0,-1.0,6.0,6.0,8.0,2.0,4.0,4.0,3.0,1.0,0.9669,0.9669,0.9669,-1.0,0.0,0.0,0.0,-1.0,"Take this class! The professor is amazing and very supportive of students who are interested in learning Igbo. The theatre presentations were super fun as our class got to prepare a short skit for other classes and professors in the African Languages Department. Exams were very reasonable and homework assignments were very manageable. If you are at all interested in getting more immersed in the Igbo culture and language, then there is more than enough room for Igbo AB to fit in your course schedule.",0.9669,,0.0,,0.0
SWAHILI AB,Elementary Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b5e605e3f34dda928c75bb10ae9addc619e551806428fe43a96e665009fe41a77ffa6a66d7d50a99b1c5986e3e6f55f3&ReportType=2&regl=en-US,FAS-159829-2252-1-1-001,FAS-159829-2252-1-1-001(Mugane),159829,8,11,4.43,4.0,4.0,0.497569851956243,0.0,0.0,0.0,-1.0,4.33,3.5,2.0,2.58,4.17,4.5,5.0,0.98,0.8908,0.8908,0.8908,-1.0,0.0,0.0,0.0,-1.0,This class is a good way to fulfill your language requirement. Professor Mugane is super nice. Sometimes the class can be a little disorganized.,0.8908,,0.0,,0.0
SWAHILI 101BR,Reading in Swahili II 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d99eef87a098e2237a6c15c06ad5c13394c02fe5f743db2fe8693720b7db7d7f863b38a82df2061a191d834dec0ef1f9&ReportType=2&regl=en-US,FAS-119821-2252-1-1-001,FAS-119821-2252-1-1-001(Mugane),119821,6,9,4.83,5.0,5.0,0.3775251680686369,0.0,0.0,0.0,-1.0,6.67,5.0,5.0,4.93,5.0,5.0,5.0,0.0,0.8753,0.8753,0.8753,-1.0,0.0,0.0,0.0,-1.0,"As a non–native Swahili speaker, I was nervous about taking this class at first and about whether my foundational knowledge from the beginner and intermediate classes would be enough, but I greatly enjoyed it and learned so much! I highly recommend!",0.8753,,0.0,,0.0
YORUBA AB,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=47441bf8884168ae37020023d4efcfa0fbcb008fa9dc2daed3063256754c26da1419ae69ad7cfcf851c1b8f12c391840&ReportType=2&regl=en-US,FAS-159872-2252-1-1-001,FAS-159872-2252-1-1-001(Ehineni),159872,13,26,4.8,5.0,5.0,0.40201512610368484,5.0,5.0,5.0,0.0,3.3,3.5,1.0,2.16,4.89,5.0,5.0,0.33,0.753,0.7909,0.9121,0.14558441995396806,0.14285714285714285,0.0,0.0,0.37796447300922725,"GREAT CLASS! Such a gem! The professor is great. As a Yoruba, my fluency in Yoruba increased.",0.9121,,0.0,"GREAT CLASS! Such a gem! The professor is great. As a Yoruba, my fluency in Yoruba increased.",0.9121
ZULU AB,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d460f1c194c76f660dcef811b59c0fb5648ad82403936db42a825259411899623da250d0f5a9f4374a6851dd745f375&ReportType=2&regl=en-US,FAS-205849-2252-1-1-001,FAS-205849-2252-1-1-001(Mugane),205849,23,34,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-1.0,3.75,3.0,3.0,2.57,5.0,5.0,5.0,0.0,0.7558,0.7715000000000001,0.6369,0.21086055649579008,0.0,0.0,0.0,0.0,This class is amazing! If you are looking to fulfill your language requirement with an amazing prof and fun classroom setting this is for you!!! I learned so much and LOVE Ntuli and Witness they are amazing teachers and truly care so much about their students :),0.9873,,0.0,,0.0
ANTHRO 97Z,Sophomore Tutorial in Social Anthropology 001,Reddy,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6b5b07199387283d4372aa96045e754c21bad15d328b72da751d7f4f09d87a2e661a942cacfdcf69da737de41f30313f&ReportType=2&regl=en-US,FAS-143028-2252-1-1-001,FAS-143028-2252-1-1-001(Reddy),143028,8,11,4.5,5.0,5.0,1.0160104466602558,4.63,5.0,5.0,0.7066865929066855,7.71,7.0,5.0,3.55,4.71,5.0,5.0,0.76,0.4331,0.5351,0.2263,0.5962231573272991,0.0,0.0,0.0,0.0,Mala and Myriam were great instructor and teaching fellow! Both are very kind and willing to explain concepts and ideas and elaborate when needed. The class allowed for great discussion and in–depth understanding since the lectures reviewed everything that is read and group work helps reveal areas of confusion. I loved the module assignments that allowed for creative expression and a break from more common rigid assignments like papers. Pushing you to think outside the box about something relevant to class topics with a partner was a fun challenge.,0.9769,"Take the module projects seriously, they do require a decent amount of theory and elaboration! You get as much as you give from this course!",-0.3147,,0.0
ANTHRO 98B,Junior Tutorial for Thesis Writers in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=beb0d277b009f6d9ade913f146dfe03b3bbfbe2af1fb4c19fabf516154edc569e13c1aa61be39387a4466324ae80c27c&ReportType=2&regl=en-US,FAS-205522-2252-1-1-001,FAS-205522-2252-1-1-001(Khaira),205522,12,13,4.18,5.0,5.0,1.1950656125007606,4.78,5.0,5.0,0.41633319989322654,5.64,5.0,5.0,2.84,4.75,5.0,5.0,0.46,0.5329166666666667,0.7195,0.0186,0.4142171769333892,0.0,0.0,0.0,0.0,"I had an AMAZING TF, and I was lucky. Regardless of your TF, this class it truly what you make of it. If you're doing multiple readings a week and using assignments well, you'll be prepared for your prospectus. I would use the 4 assignments to scaffold to your prospectus (ex. #1 for me was a roundup of my sources from the first chunk of the semester, #3 was a draft of the prospectus lit review). Damina, Andrew, and Alex are key supports –– use them. And go to Andrew's workshops!",0.9435,,0.0,,0.0
ANTHRO 99B,Thesis Tutorial in Anthropology - Senior Year 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bf7aa3184f2debbbe087d3de9335b389bd9c7b45b7c7d11615ac97e515fc57c37d64ad59d3af21d74ac1e3936d36591b&ReportType=2&regl=en-US,FAS-205185-2252-1-1-001,FAS-205185-2252-1-1-001(Khaira),205185,5,6,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,11.0,11.0,12.0,1.41,5.0,5.0,5.0,0.0,0.8519,0.8519,0.8519,-1.0,0.0,0.0,0.0,-1.0,"If you are writing a thesis, I definitely recommend this course. The instructors are helpful and want you to succeed. Every assignment also works towards the goal of completing your thesis. There is no unnecessary busy work.",0.8519,,0.0,,0.0
ANTHRO 1060,Introduction to Archaeological Science 001,Warinner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=200f831c314feb76ffa5251a37258810039fedb8a21bdc88fb445cfa44b7ff8ca03873bc6cbebe43f4c31c15062cf015&ReportType=2&regl=en-US,FAS-111192-2252-1-1-001,FAS-111192-2252-1-1-001(Warinner),111192,9,11,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,8.29,6.0,10.0,5.85,4.86,5.0,5.0,0.38,0.689525,0.7222,0.7773,0.2652863154530717,0.0,0.0,0.0,0.0,"Take this course! Professor Warinner is a great lecturer and a great person. I genuinely learned so much from this class. Every lecture was very interesting, and I feel that I walked away from each class with a better understanding of the scientific method, archaeology, and the relationship between biology, chemistry, history, and anthropology. The midterm and the final (where they would give you an example of an archaeological site and you would have to write about methods to analyze it) were also very fair and honestly kind of fun to complete. Also, shoutout to Percy for being a such a kind and knowledgeable TF",0.9737,,0.0,,0.0
ANTHRO 1150,Ancient Landscapes 001,Ur,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0baebda135cb3645e3c1202dcead7108929b85568d2a470f48c963b1fbdce5ac85509dc403618fef958bab10c6a4c101&ReportType=2&regl=en-US,FAS-120579-2252-1-1-001,FAS-120579-2252-1-1-001(Ur),120579,7,9,4.33,4.0,4.0,0.47258156262526085,4.83,5.0,5.0,0.3775251680686369,7.17,6.0,6.0,4.12,4.5,4.5,4.0,0.55,0.380325,0.28045,0.5093,0.4493806061310019,0.0,0.0,0.0,0.0,"This is a great class for someone hoping to explore archaeology and participate in interesting discussions about the organization of the discipline, the field of landscape archaeology, and the role of archaeology in society. The readings are interesting, though there are many, and the professor is very enthusiastic and fun.",0.9604,,0.0,,0.0
ANTHRO 1290,Culture and Evolution 001,Clark,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1891f1504fa3f0f6cc51c36a6c45e92a56ca43483f5f527a2480800a86d5dc3dacf7b97cd325d6d7be43f914eec2ed42&ReportType=2&regl=en-US,FAS-224392-2252-1-1-001,FAS-224392-2252-1-1-001(Clark),224392,12,15,4.56,5.0,5.0,0.6863753427324667,4.8,5.0,5.0,0.40201512610368484,5.5,4.5,4.0,3.21,4.5,5.0,5.0,0.71,0.8168,0.8168,0.985,0.2378707211911546,0.0,0.0,0.0,0.0,"I think this was an excellent class with two really knowledgeable and kind professors. The topic was so interesting, and while it's about the deep past, I think it's incredibly relevant for people to understand. There wasn't a lot of work outside the two exams and the final paper, which was nice. You do have to use Perusal, but it honestly didn't bother me much. I think it makes you engage more with the content of the readings and you get to hear what your classmates think. Most people in the class were very engaged with the topic and we had some great discussions. There were a few issues with the exams, but I don't think this will be the case for future versions of this class. I highly recommend it!",0.985,,0.0,,0.0
