department,subject,course_number,title,course_id,term,credits,weekdays,start_time,end_time,instructors,distribution,requirements,description
Faculty of Arts and Sciences,AFRAMER,133Y,The Politics of Paradise: Tourism in Latin America & the Caribbean,224623,2025 Fall,4,Tue,12:00 PM,02:45 PM,Amber Henry  What,Social Sciences,Instructor Permission Required,"Amber Henry What does tourism sell? How do destination images condition our perceptions of native people, public space and collective memory? This seminar explores tourism beyond its facile association with leisure to consider its implications for development, environmental protection, heritage conservation, and the commodification of history. Treating tourism as an enterprise that trades in everything from sensory fantasies to cheap cosmetic surgeries and pictures of tropical paradise, this course contemplates the role of the imaginary in the political and the political in the imaginary. Through careful analysis of travel journals, audiovisual material and first hand accounts from culture brokers and travelers alike, we'll explore the industry's colonial past in relation to Black, Indigenous and queer people's efforts to bend tourism towards a more libratory future. While geographically situated in Latin America and the Caribbean, the course draws from comparative contexts in continental Africa and the United States to critically analyze tourism in relation to colonialism, the plantation economy, African diasporic kinship and the afterlives of slavery. Readings include classic texts such as Jamaica Kincaid's (1988) A Small Place, Kamala Kempadoo's Sun, Sex and Gold (1999) Paulla Ebron's Performing Africa (2002), Mimi Sheller´s Consuming the Caribbean (2003) and Saidiya Hartman's Loose Your Mother (2008). These works will be paired with Florence Babb's The Tourism Encounter (2010) Jemima Pierre's Predicament of Blackness (2009) Krista Thompson's An Eye for the Tropics (2016), and recent ethnographies such as Christen Smith's Afro-Paradise (2016), Megan Rivers-Moore's Gringo Gluch (2016) Patricia Pinho's Mapping Diaspora (2018), Bianca Williams's The Pursuit of Happiness (2018), Corinna Campbell's The Cultural Work (2020), and Anadelia A. Romo's Selling Black Brazil (2022)."
Faculty of Arts and Sciences,AFRAMER,134Y,"The Philosophy and Politics of Malcolm X and Martin Luther King, Jr.",226521,2025 Fall,4,Wed,12:00 PM,02:45 PM,Brandon Terry,Social Sciences,,"Brandon Terry This seminar for graduate students and undergraduates with backgrounds in political theory, philosophy, or African American Studies undertakes a rigorous examination of the political lives and philosophical thought of Malcolm X and Martin Luther King, Jr. Through their speeches, writings, debates, and unpublished texts, we will engage critically with their evolving visions of justice, democracy, and social transformation. We will read both figures in dialogue with their intellectual influences and critics to evaluate their views of liberalism, nationalism, civil disobedience, political violence, self-defense, internationalism, political theology, democracy, war, and economic justice among other themes. By studying these towering figures side by side, this course will illuminate fundamental questions about political ethics, racial justice, and the possibilities and limits of radical social change in the past and present."
Faculty of Arts and Sciences,AFRAMER,135Y,Black Feminist Theory Seminar,222229,2026 Spring,4,Tue,09:00 AM,11:45 AM,Imani Perry,Social Sciences,Instructor Permission Required,"Imani Perry This course traces the development of Black feminist theory and thought, from 19th century thinkers such as Anna Julia Cooper, Maria Stewart, Ida B. Wells through 20th century movements including identity politics, standpoint theory, matrices of domination, intersectionality, as well as Marxian and liberation feminism. Students will be expected to develop critical fluency with the movements and concepts covered and apply them to social, cultural, and political issues."
Faculty of Arts and Sciences,AFRAMER,143Y,African Landscape Architecture: Alternative Futures for the Field,224017,2026 Spring,4,,,,,Social Sciences,Instructor Permission Required,"Gareth Doherty A central aim of this seminar is to reveal the plurality of ways landscapes are shaped across the African continent and how they help mitigate the impacts of changing climates and social injustice now and in the future. Africa is a continent rich in landscape projects and practices but only eight out of fifty-four African nations have professional associations of landscape architects. The course is framed around three central questions: 1.) How is landscape architecture currently practiced in African countries? (2.) What lessons can we learn from landscape practices in various African societies that can help mitigate the impacts of climate change and social inequities? (3.) As landscape architecture unfolds across the continent in the next 50–200 years, how can it continue assert its agency in the fight against changing climates and social inequity and claim a central space in the shaping of African cities of the future? Each week we will focus on a different country including South Africa, Botswana, Tanzania, Rwanda, Kenya, Ethiopia, Egypt, Tunisia, Morocco, Côte d'Ivoire, Ghana, and Nigeria. In collaboration with several landscape architecture university programs across Africa and including practitioners and academics from across the continent, this seminar will explore what it means to practice and teach landscape architecture in societies in which the profession is nascent or non-existent and speculate on the future of the shaping of landscapes in the Global South."
Faculty of Arts and Sciences,AFRAMER,146X,A Black History of Electronic Dance Music,222657,2025 Fall,4,Wed,12:00 PM,02:45 PM,,Arts and Humanities,,"George aumoithe Electronic dance music. Mentioning the genre elicits questions over origins and boundaries. While oft forgotten, Black queer, femme, and non-binary people invented the modern-day genre's arrangement, composition, production, and distribution, undergirding distressed communities' sonic landscapes, enlivening social movements, and seeding multibillion-dollar markets. From disco to house to techno, each seminar will crisscross wide-ranging geographies including Chicago, Detroit, New York, and Manchester, United Kingdom. We will pair essential LPs, EPs, singles, and bootleg recordings with thematically linked texts in history, musicology, and theory to ask how Black electronic musicians responded to history's unfolding."
Faculty of Arts and Sciences,AFRAMER,154Y,African American Fraternal Associations in U.S. Society and Politics,225711,2026 Spring,4,Wed,03:00 PM,05:00 PM,Theda Skocpol  Cross,Social Sciences,Instructor Permission Required,"Theda Skocpol Cross-class fraternal associations were long central to African American civil society. Using unique primary sources as well as secondary works, this research seminar explores the development of a range of fraternal orders that flourished from the mid-1800s through the Jim Crow and Civil Rights eras. Case studies include the largest U.S.-centered transnational associations; fraternal groups founded and led by Black women; and the small number of groups that tried to include both Blacks and whites. Special attention paid to relations of Black fraternal orders to churches, businesses, unions, the NAACP, and other civil rights endeavors."
Faculty of Arts and Sciences,AFRAMER,159Y,Healthcare and the Welfare State,225821,2026 Spring,4,Tue,06:00 PM,08:45 PM,,Social Sciences,Instructor Permission Required,"George aumoithe This conference course examines state-based guarantees to healthcare through an initial comparative analysis of different welfare states, largely focused on the United States' experience. It asks why the United States has not guaranteed a right to healthcare, unlike most other advanced, industrialized, and wealthy countries. Within the United States' federated system, the place of healthcare varies widely amidst other demands for social insurance, which includes unemployment benefits, parental leave, childcare, and pensions. From comparative to national perspective, this course engages American political economy's public-private mix; anti-immigration sentiment's and segregation's limits on national health insurance; the Civil Rights Movement's healthcare reforms; the persistent reproduction of health inequality despite de jure desegregation; resistance to and breakthroughs for Medicaid expansion in the contemporary era; and prospects for future reform."
Faculty of Arts and Sciences,AFRAMER,166X,African Language Archives in disciplines and professions,224461,2025 Fall,4,Mon/Wed,10:30 AM,11:45 AM,,Social Sciences,Instructor Permission Required,"John Mugane Language is a fundamental for thought and communication, playing a vital role in human achievements and societal progress. This course explores African languages as rich sources of knowledge that require collection and cataloguing using current AI technologies. By examining archives of African thought and life, students will delve into how archival information can be shared across languages. The course emphasizes the significance of African languages as instruments of thought, expressed through signs and sounds, in various domains such as constitution writing, food production, governance, religion, and environmental use/protection. Students will critically engage with the organic sociality of vernacular spaces, including church rooms, courtrooms, classrooms, hospital rooms, and entrepreneurial spaces, where African languages are linguistically accessible. Course Objectives:- Understand the role of language as an instrument of thought and communication in African societies.- Explore African languages as archives of knowledge and their importance in preserving cultural heritage.- Gain knowledge of AI technologies and their application in collecting and cataloguing African language archives.- Examine the significance of archival information sharing across different African languages.- Analyze the critical engagements that take place in vernacular spaces and their impact on African communities.- Understand the linguistic accessibility of African languages in various social contexts."
Faculty of Arts and Sciences,AFRAMER,186,"Religion, Culture, and Society in Africa",222688,2026 Spring,4,Thu,03:00 PM,05:45 PM,Jacob Olupona Exploring,Arts and Humanities,,"Jacob Olupona Exploring the meaning of religion and its impact of on African culture and society broadly, this course will highlight both religious traditions and innovations. Instead of treating each of the religions of Africa, the triple heritage in the words of Ali Mazrui of indigenous African religions, Islam, and Christianity, as distinct and bounded entities, we will explore the hybridity, interaction, and integration between categories throughout Africa. Using case studies, a unique perspective on religious diversity on the African continent and diaspora will emerge."
Faculty of Arts and Sciences,AFRAMER,191X,African American Lives in the Law,127960,2026 Spring,4,Thu,12:45 PM,02:45 PM,Evelyn Brooks Higginbotham,Social Sciences,Instructor Permission Required,"Evelyn Brooks Higginbotham This seminar focuses on biographical and autobiographical writings in a historical examination of the role of the individual in the American legal process. We will seek to understand how specific African Americans (as lawyers, judges, and litigants) made a difference-how their lives serve as a mirror to America-and also to understand the ways personal experience informs individual perspectives on the law and justice."
Faculty of Arts and Sciences,AFRAMER,197,"Poverty, Race, and Health",123435,2025 Fall,4,Tue,12:45 PM,02:45 PM,David Williams,Social Sciences,,"David Williams This course critically examines the health status of the poor, and of African Americans and other socially disadvantaged racial and ethnic groups in the US. Attention will be focused on the patterned ways in which the health of these groups is embedded in the social, cultural, political, and economic contexts, and arrangements of US society. Topics covered include the meaning and measurement of race, the ways in which racism affects health, the historic uses of minorities in medical research, how acculturation and migration affects health, and an examination of the specific health problems that disproportionately affect nondominant racial groups."
Faculty of Arts and Sciences,AFRAMER,201,Theory and Race in Africa,222201,2025 Fall,4,Thu,03:45 PM,05:45 PM,Daniel Agbiboa,Social Sciences,Instructor Permission Required,"Daniel Agbiboa This course focuses on theoretical debates and frameworks in African studies from the past to the postcolony. The course strives to open up a critical, open-ended discussion that treats Africa as People, and reclaims the epistemic freedom and virtue of African people through a double-consciousness of deprovincializing Africa and provincializing Europe. The course will examine the lines of knowledge production in Africa, beyond hegemonic Eurocentric knowledge-production, with the aim of achieving what the writer Chinua Achebe calls a balance of stories. What, for instance, does a decolonized, African-centered approach to knowledge production look like? Ultimately, the course belies entrenched and racialized notions of Africa as a residual category, the study of which adds nothing (theoretically) meaningful to world knowledge or the human condition."
Faculty of Arts and Sciences,AFRAMER,210,W.E.B. Du Bois and His Critics,223916,2026 Spring,4,Mon,12:00 PM,02:45 PM,Henry Gates,Arts and Humanities,Instructor Permission Required,"Henry Gates W. E. B. Du Bois was among the most profound thinkers of his time, devoting a forensic and evolving attention to the issue of race over a varied career that extended from the turn of the century to his death on the eve of the March on Washington in 1963. Although he earned his PhD from Harvard in history, he is increasingly seen as one of the pioneering scholars in the then-nascent field of sociology. In this course, we will employ a structure of text and critique to evaluate the reach and utility of his ideas, on subjects ranging from the development of racial consciousness to nuclear disarmament to the international order and the role of Africa, Africans, and African Americans in it. This course will examine Du Bois's original writings in the context of the debates they sparked and will revisit his interactions with key figures, both Black and white, of the twentieth century."
Faculty of Arts and Sciences,AFRAMER,219A,Race and Ethnicity in Latin America,213432,2025 Fall,4,Thu,12:45 PM,02:45 PM,Alejandro,Social Sciences,Instructor Permission Required,"Alejandro de la Fuente, Paulina Alberto This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, the course discusses how ideas of race have shaped processes of nation and state formation in Latin America, shaping opportunities for mobilization and public policies; how racial identities have been formed and invoked for different cultural and political purposes; and how ideas of race and ethnicity have contributed to the stratification of Latin American societies, which are among the most unequal in the world."
Faculty of Arts and Sciences,AFRAMER,219B,Race and Ethnicity in Latin America,215791,2026 Spring,4,,,,,Social Sciences,Instructor Permission Required,"Alejandro de la Fuente, Paulina Alberto This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, the course discusses how ideas of race have shaped processes of nation and state formation in Latin America, shaping opportunities for mobilization and public policies; how racial identities have been formed and invoked for different cultural and political purposes; and how ideas of race and ethnicity have contributed to the stratification of Latin American societies, which are among the most unequal in the world."
Faculty of Arts and Sciences,AFRAMER,221,"Comparative Slavery & the Law: Africa, Latin America, & the US: Seminar",110499,2025 Fall,4,Wed,12:45 PM,02:45 PM,Emmanuel Akyeampong,,,"Emmanuel Akyeampong, Alejandro de la Fuente This seminar surveys the booming historiographies of slavery and the law in Latin America, the United States, and Africa. Earlier generations of scholars relied heavily on European legal traditions to draw sharp contrasts between U.S. and Latin American slavery. The most recent scholarship, however, approaches the legal history of slavery through slaves' legal initiatives and actions. These initiatives were probably informed by the Africans' legal cultures, as many of them came from societies where slavery was practiced. Our seminar puts African legal regimes (customary law, Islamic law) at the center of our explorations concerning slaves' legal actions in the Americas."
Faculty of Arts and Sciences,AFRAMER,223,Storied Lives: Methods in Oral History,225837,2026 Spring,4,Tue,03:00 PM,05:45 PM,Amber Henry  How,Social Sciences,Instructor Permission Required,"Amber Henry How can we understand the lives of people who are excluded from the historical record? How might attention to the time and space in which words are spoken allow us to treat oral history as text, and text as oral history? This course explores storytelling as a foundational element of the human experience. It analyzes the myriad ways in which orality has been used to consolidate origin stories, document events, communicate embodied experience, and transfer ancestral knowledge. By centering methodology, students will learn to prepare, collect, analyze, and share oral histories in a variety of written, digital, and artistic forms. Topics of discussion include how to build relationships, conduct interviews around difficult topics, and use citational practices that honor nonhuman and other-than-human actors. Required readings pair classic and new oral histories with texts on the theory, practice, and ethics of storytelling. By centering works by Black, Indigenous, gender minorities, and writers of color, the course examines how storytelling is used to establish and redistribute power. At the end of the semester, students will become familiar with audio-visual recording technology, learn to navigate transcription and coding software, and be able to conduct, transcribe and analyze an oral history."
Faculty of Arts and Sciences,AFRAMER,224,African Postcolonial State,226221,2025 Fall,4,Wed,09:45 AM,11:45 AM,David Glovsky,Social Sciences,Instructor Permission Required,"David Glovsky This course, primarily for graduate students, is designed to analyze the form and function of the postcolonial state in Africa. Decolonization left African states and policymaker with many decisions regarding what states should do politically, economically, socially, and culturally. How should states create a national identity out of an emerging anti-colonial consciousness? Given the challenges of colonial rule, how could postcolonial state create vibrant economies and durable political systems, especially given the damage done by colonial rule. This seminar will engage with the newest works by historians, anthropologists, political scientists, and other scholars who have analyzed the postcolonial state in Africa, drawing on case studies from across the continent."
Faculty of Arts and Sciences,AFRAMER,234,Black Classicisms: A Research Seminar and Pedagogy Workshop,220551,2025 Fall,4,Wed,03:00 PM,05:00 PM,Emily Greenwood,Arts and Humanities,Instructor Permission Required,"Emily Greenwood From the enslaved poet Phillis Wheatley writing in Boston in the 1760s and 1770s, to contemporary authors and artists in Africa, the Caribbean, and the US, this lecture course will explore uses of ancient Greek and Roman Classics in the literatures, arts, and thought of Africa and the Black Diaspora. We will analyze how African and black diasporic authors and intellectuals have engaged with, revised, and re-imagined the classics of ancient Greece and Rome, both to expose and critique discourses of racism, imperialism, colonialism, and white supremacy, and as a rich source of radical self-expression. The course will be arranged thematically, taking in uses of Classics in literature, art, journalism, and politics. Writers, artists, and politicians whose work and ideas we will study include Phillis Wheatley, William Sanders Scarborough, Anna Julia Cooper, Pauline Hopkins, Mary Church Terrell, Edmonia Lewis, W.E.B. Du Bois, Aaron Douglas, Romare Bearden, Bob Thompson, Gwendolyn Brooks, Ralph Ellison, Rev. Martin Luther King Jr., Fran Ross, Toni Morrison, Rita Dove, Harryette Mullen, Spike Lee, Hastings Kamuzu Banda, Ola Rotimi, Athol Fugard, John Kani, and Winston Ntshona, Wole Soyinka, Njabulo Ndebele, C.L.R. James, Eric Williams, Aimé Césaire, Derek Walcott, Kamau Brathwaite, Austin Clarke, Marlene NourbeSe Philip, and Dionne Brand. In addition to works by individual authors, lectures will also attend to the circulation of Greek and Roman classical myths, history, and thought in vernacular cultures. Throughout, we will be attentive to the relationship between national contexts and transnational histories and networks, and the phenomenon of classical appropriation in invented modern traditions."
Faculty of Arts and Sciences,AFRAMER,245,"Pedagogies of Liberation: Race, Gender, and Class(rooms)",226215,2025 Fall,4,Tue,12:00 PM,02:45 PM,"Doris Sommer, Adriana Gutierrez",Social Sciences,,"Doris Sommer, Adriana Gutierrez This course is meant as preparation and accompaniment for new teachers of language and literature. It is designed for anyone dedicated to developing a pedagogical praxis that alternates between theory and implementation. The objective is to achieve a rigorous theoretical framework for the formative work of language instruction that supports literary analysis. The exemplary teachers featured in this course display a remarkable coherence of good practices that remain alternative to normalized approaches that are less effective intellectually and less supportive socially. For the final project, students will present a potential series of lessons inspired by one or more of the featured theorists. For graduate students of literature in RLL, language arts are the featured vehicle for language instruction. Learning and teaching Romance languages combines technical mastery with creative and critical skills. To develop this interlocking range of skills we count on foundational pedagogies from Romance Language territories and beyond. Our pedagogical pioneers share a mission to democratize societies marked by legacies of slavery, extractionism, and patriarchy. This course is meant as preparation and accompaniment for new teachers of language and literature. It is designed for anyone dedicated to developing a pedagogical praxis that alternates between theory and implementation. The objective is to achieve a rigorous theoretical framework for the formative work of language instruction that supports literary analysis. The exemplary teachers featured in this course display a remarkable coherence of good practices that remain alternative to normalized approaches that are less effective intellectually and less supportive socially. For the final project, students will present a potential series of lessons inspired by one or more of the featured theorists. There will be an additional 1-hour clinic with Dr. Gutierrez, time to be arranged."
Faculty of Arts and Sciences,AFRAMER,310 (01),Individual Reading Tutorial,115731,2026 Spring,4,,,,,None,Instructor Permission Required,Alejandro de la Fuente Allows students to work with an individual member of the faculty in a weekly tutorial. plan to work have approved a program of study.
Faculty of Arts and Sciences,AFRAMER,390 (040),Individual Research,115732,2026 Spring,4,,,,,,Instructor Permission Required,
Faculty of Arts and Sciences,AFRAMER,391 (01),Directed Writing,,,,,,,,,,Alejandro de la Fuente
Faculty of Arts and Sciences,AFRAMER,392,"Teaching, Writing, and Research",,,,,,,,,,Alejandro de la Fuente
Faculty of Arts and Sciences,AFRAMER,398,Reading and Research,122706,2026 Spring,4,,,,,,Instructor Permission Required,Jean Comaroff
Faculty of Arts and Sciences,AFRAMER,399 (042),Direction of Doctoral Dissertations,115733,2026 Spring,4,,,,,,Instructor Permission Required,Swahili
Faculty of Arts and Sciences,SWAHILI,AA,Elementary Swahili,119819,2025 Fall,4,,,,,None; Meets Foreign Lang Req: Meets Foreign Lang Req: Swahili,Instructor Permission Required,"John Mugane A study of the lingua franca of East Africa at the elementary level. Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,SWAHILI,AB,Elementary Swahili,159829,2026 Spring,4,,,,,None,Instructor Permission Required,"John Mugane A study of the lingua franca of East Africa at the elementary level. Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,SWAHILI,BA,Intermediate Swahili,144184,2025 Fall,4,,,,,None; Meets Foreign Lang Req: Meets Foreign Lang Req: Swahili,Instructor Permission Required,"John Mugane Continuation of Swahili A. A study of the lingua franca of East Africa at the elementary level. Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Swahili A or the equivalent of one year's study of Swahili."
Faculty of Arts and Sciences,SWAHILI,BB,Intermediate Swahili,159865,2026 Spring,4,,,,,None; Meets Foreign Lang Req: Meets Foreign Lang Req: Swahili,Instructor Permission Required,"John Mugane Continuation of Swahili A. A study of the lingua franca of East Africa at the elementary level. Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Swahili A or the equivalent of one year's study of Swahili."
Faculty of Arts and Sciences,SWAHILI,101AR,Reading in Swahili,119820,2025 Fall,4,,,,,Arts and Humanities; Meets Foreign Lang Req: Meets Foreign Lang Req: Swahili,Instructor Permission Required,"John Mugane Advanced reading in Swahili. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Swahili B or equivalent."
Faculty of Arts and Sciences,SWAHILI,101BR,Reading in Swahili II,119821,2026 Spring,4,,,,,Arts and Humanities,Instructor Permission Required,"John Mugane Advanced reading in Swahili II. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Swahili 101ar or equivalent. Tigrinya"
Faculty of Arts and Sciences,TIGRINYA,AA,Elementary Tigrinya,126313,2025 Fall,4,,,,,None,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,TIGRINYA,AB,Elementary Tigrinya,205852,2026 Spring,4,,,,,None; Meets Foreign Lang Req: Meets Foreign Lang Req: Tigrinya,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Elementary level (First year part 2). Contact hours supplemented by language digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. This course is offered only in the Spring. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,TIGRINYA,BA,Intermediate Tigrinya,205887,2025 Fall,4,,,,,None,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Tigrinya BA in the Spring must note that Tigrinya BB is offered only in the Spring and must therefore wait for Spring to complete the course. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,TIGRINYA,BB,Intermediate Tigrinya,205855,2026 Spring,4,,,,,None; Meets Foreign Lang Req: Meets Foreign Lang Req: Tigrinya,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Tigrinya BA in the Spring must note that Tigrinya BB is offered only in the Spring. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more."
Faculty of Arts and Sciences,TIGRINYA,101AR,Advanced Tigrinya,205875,2025 Fall,4,,,,,Arts and Humanities,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Advanced level in the Fall semester. As needed, successive advanced readings in Tigrinya may be taken under Tigrinya 101ar every Fall. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Tigrinya B or equivalent"
Faculty of Arts and Sciences,TIGRINYA,101BR,Advanced Tigrinya II,205882,2026 Spring,4,,,,,Arts and Humanities; Meets Foreign Lang Req: Meets Foreign Lang Req: Tigrinya,Instructor Permission Required,"John Mugane A study of Tigrinya a major language spoken in Ethiopia at the Advanced level in the Spring semester. As needed, successive advanced readings Tigrinya may be taken under Tigrinya 101br every Spring. need on the part of the student, and when suitable instruction can be arranged. Please contact the department to learn more. Tigrinya 101ar or equivalent. Zulu"
